Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
06/12/2015,2015-June,415(1) PC,148(a)(1) PC,,M,Black,28,Fighting,Penal Code - Disturbing the Peace,26-35,African-Amer
06/12/2015,2015-June,69 PC,647(f) PC,,F,Other Asian,25,Interfere/Obstruct/Threat Officer,Penal Code,18-25,Asian
06/12/2015,2015-June,148(a)(1) PC,243(d) PC,415(1) PC,M,White,24,Resist Arrest,Penal Code - Public Justice,18-25,White
06/12/2015,2015-June,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
06/12/2015,2015-June,23152(a) VC,,,M,White,46,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
06/13/2015,2015-June,23224(B)VC,25662(A) BP,,M,Hispanic,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
06/13/2015,2015-June,23152(a) VC,23152(b) VC,,M,Hispanic,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
06/13/2015,2015-June,23152(a) VC,23152(b) VC,23140(a) VC,M,White,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
06/14/2015,2015-June,23152(e) VC,11550(A) HS,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
06/14/2015,2015-June,11377(A) HS,242 PC,647(h) PC,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
06/15/2015,2015-June,273.5(A) PC,,,M,Black,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,African-Amer
06/15/2015,2015-June,647(f) PC,,,M,Hispanic,35,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
06/18/2015,2015-June,22210 PC,25400(a)(1) PC,,M,White,28,Illegal possession of a sap,Penal Code - Weapons,26-35,White
06/19/2015,2015-June,11364.1(a) HS,,,M,Hispanic,26,Drug paraphernalia,Health & Safety,26-35,Hispanic
06/19/2015,2015-June,11364.1(a) HS,182(A)(1) PC,487(A) PC,F,Hispanic,36,Drug paraphernalia,Health & Safety,36-45,Hispanic
06/19/2015,2015-June,11364.1(a) HS,182(A)(1) PC,487(A) PC,M,White,26,Drug paraphernalia,Health & Safety,26-35,White
06/20/2015,2015-June,23152(a) VC,23152(b) VC,,M,Black,36,Drug or EtOH vehicle violtion,Vehicle Code,36-45,African-Amer
06/20/2015,2015-June,243(d) PC,,,M,Black,48,Battery on a person,Penal Code - Against person,46-55,African-Amer
06/20/2015,2015-June,664/187(A) PC,245(A)(4) PC,273.5(A) PC,M,Black,51,Att Murder,Penal Code - Against person,46-55,African-Amer
06/20/2015,2015-June,23152(a) VC,23152(b) VC,,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
06/20/2015,2015-June,459.5 PC,,,F,White,56,Burglary,Penal Code - Property Crimes,56-65,White
06/21/2015,2015-June,23152(a) VC,23152(b) VC,,M,Black,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
06/21/2015,2015-June,273.5(A) PC,,,M,White,29,Corporal Injury spouse/partner,Penal Code - Against person,26-35,White
06/21/2015,2015-June,10851(A) VC,,,M,White,59,car theft or tampering,Vehicle Code,56-65,White
06/23/2015,2015-June,148(a)(1) PC,,,F,Hispanic,32,Resist Arrest,Penal Code - Public Justice,26-35,Hispanic
06/24/2015,2015-June,236 PC,243(e)(1) PC,23152(a) VC,M,Hispanic,33,False Imprisonment,Penal Code - Against person,26-35,Hispanic
06/24/2015,2015-June,647(f) PC,,,M,Hispanic,35,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
06/25/2015,2015-June,30305(a)(1) PC,11377(A) HS,,M,Black,24,Poss Firearm by Prohibited Person,Penal Code - Weapons,18-25,African-Amer
06/25/2015,2015-June,11364(a) HS,,,M,Hispanic,45,Drug paraphernalia,Health & Safety,36-45,Hispanic
06/25/2015,2015-June,23152(a) VC,23152(b) VC,,M,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
06/25/2015,2015-June,10851(A) VC,11378 HS,496(A) PC,M,White,38,car theft or tampering,Vehicle Code,36-45,White
06/25/2015,2015-June,21310 PC,11377(A) HS,11364.1(a) HS,M,White,39,Illegal possession of a dirk/dagger,Penal Code - Weapons,36-45,White
06/27/2015,2015-June,11377(A) HS,11364.1(a) HS,,M,White,32,Possession - controlled subst,Health & Safety,26-35,White
06/27/2015,2015-June,496(A) PC,,,M,White,45,Receives Stolen Property,Penal Code - Larceny,36-45,White
06/29/2015,2015-June,11364.1(a) HS,11377(A) HS,243(e)(1) PC,F,White,55,Drug paraphernalia,Health & Safety,46-55,White
07/01/2015,2015-July,11357(C) HS,,,M,White,55,Possession - Cannabis,Health & Safety,46-55,White
07/01/2015,2015-July,11377(A) HS,,,M,White,58,Possession - controlled subst,Health & Safety,56-65,White
07/02/2015,2015-July,11377(A) HS,11364.1(a) HS,,M,Hispanic,25,Possession - controlled subst,Health & Safety,18-25,Hispanic
07/02/2015,2015-July,23152(e) VC,,,F,White,60,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
07/03/2015,2015-July,11550(A) HS,647(h) PC,,M,Black,24,Under the Influence - Narcotics,Health & Safety,18-25,African-Amer
07/03/2015,2015-July,314.1 PC,417(C) PC,245(C) PC,M,Hispanic,19,Indecent Exposure,Penal Code - Against person,18-25,Hispanic
07/03/2015,2015-July,23152(a) VC,23152(b) VC,,M,Hispanic,32,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
07/03/2015,2015-July,11364(a) HS,11550(A) HS,,M,Hispanic,45,Drug paraphernalia,Health & Safety,36-45,Hispanic
07/03/2015,2015-July,11364(a) HS,11377(A) HS,1203.2(a) PC,M,White,29,Drug paraphernalia,Health & Safety,26-35,White
07/03/2015,2015-July,11377(A) HS,11364.1(a) HS,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
07/03/2015,2015-July,11377(A) HS,11364.1(a) HS,,M,White,32,Possession - controlled subst,Health & Safety,26-35,White
07/03/2015,2015-July,23152(a) VC,23152(b) VC,,F,White,56,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
07/04/2015,2015-July,23152(a) VC,23152(b) VC,12500(A) VC,M,Black,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,African-Amer
07/04/2015,2015-July,69 PC,243(b) PC,148(a)(1) PC,M,Hispanic,23,Interfere/Obstruct/Threat Officer,Penal Code,18-25,Hispanic
07/04/2015,2015-July,647(a) PC,26.01.030 DCC,O/W MISD,M,White,47,Disorderly Conduct - Lewd/Prostitution,Penal Code - Mal Misch & Disord Cond,46-55,White
07/07/2015,2015-July,11364.1(a) HS,314.1 PC,,M,Hispanic,22,Drug paraphernalia,Health & Safety,18-25,Hispanic
07/07/2015,2015-July,664/187(A) PC,273.5(A) PC,422 PC,M,Hispanic,40,Att Murder,Penal Code - Against person,36-45,Hispanic
07/08/2015,2015-July,166(A)(4) PC,,,F,Other,40,Violation of a Court Order,Penal Code - Public Justice,36-45,Other
07/08/2015,2015-July,O/W FEL,,,M,White,32,,Penal Code,26-35,White
07/08/2015,2015-July,O/W MISD,,,M,White,33,,Penal Code,26-35,White
07/08/2015,2015-July,459.5 PC,,,F,White,37,Burglary,Penal Code - Property Crimes,36-45,White
07/08/2015,2015-July,11364.1(a) HS,148.9(A) PC,537(A)(1) PC,F,White,48,Drug paraphernalia,Health & Safety,46-55,White
07/08/2015,2015-July,487(A) PC,,,M,White,51,Grand Theft,Penal Code - Larceny,46-55,White
07/09/2015,2015-July,23152(a) VC,23152(b) VC,,M,Black,34,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
07/09/2015,2015-July,23152(a) VC,,,M,Chinese,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
07/09/2015,2015-July,4462.5 VC,4000(a) VC,,M,Hispanic,62,Registration,Vehicle Code,56-65,Hispanic
07/09/2015,2015-July,242 PC,,,F,White,31,Battery,Penal Code - Against person,26-35,White
07/10/2015,2015-July,212.5(A) PC,182(A)(1) PC,459 PC,F,Hispanic,21,Robbery,Penal Code - Against person,18-25,Hispanic
07/10/2015,2015-July,212.5(A) PC,182(A)(1) PC,69 PC,M,Hispanic,24,Robbery,Penal Code - Against person,18-25,Hispanic
07/10/2015,2015-July,11364.1(a) HS,11377(A) HS,,M,Hispanic,25,Drug paraphernalia,Health & Safety,18-25,Hispanic
07/10/2015,2015-July,23152(a) VC,23152(b) VC,20002(B) VC,M,Hispanic,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
07/10/2015,2015-July,11364.1(a) HS,,,M,Hispanic,45,Drug paraphernalia,Health & Safety,36-45,Hispanic
07/10/2015,2015-July,647(f) PC,,,M,White,22,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
07/11/2015,2015-July,11364.1(a) HS,,,F,White,18,Drug paraphernalia,Health & Safety,18-25,White
07/11/2015,2015-July,148(D) PC,,,F,White,51,Take a PO's firearm,Penal Code - Public Justice,46-55,White
07/12/2015,2015-July,273.5(A) PC,,,M,Filipino,21,Corporal Injury spouse/partner,Penal Code - Against person,18-25,Asian
07/12/2015,2015-July,487(A) PC,11377(A) HS,11364.1(a) HS,M,White,35,Grand Theft,Penal Code - Larceny,26-35,White
07/12/2015,2015-July,487(A) PC,182(A)(1) PC,,M,White,38,Grand Theft,Penal Code - Larceny,36-45,White
07/13/2015,2015-July,647(f) PC,,,M,White,32,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
07/14/2015,2015-July,459 PC,1203.2(a) PC,,M,White,21,Burglary,Penal Code - Property Crimes,18-25,White
07/14/2015,2015-July,459 PC,,,M,White,21,Burglary,Penal Code - Property Crimes,18-25,White
07/15/2015,2015-July,11364.1(a) HS,,,M,Black,29,Drug paraphernalia,Health & Safety,26-35,African-Amer
07/15/2015,2015-July,273.5(A) PC,594(b)(1) PC,664/487 PC,M,White,21,Corporal Injury spouse/partner,Penal Code - Against person,18-25,White
07/15/2015,2015-July,11364.1(a) HS,11377(A) HS,,F,White,52,Drug paraphernalia,Health & Safety,46-55,White
07/17/2015,2015-July,23152(a) VC,23152(b) VC,,M,Black,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,African-Amer
07/17/2015,2015-July,23152(a) VC,23152(b) VC,,M,Hispanic,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
07/17/2015,2015-July,23152(a) VC,23152(b) VC,,M,Pacific,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Pacific Islands
07/18/2015,2015-July,23152(a) VC,,,M,Hispanic,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
07/18/2015,2015-July,23152(a) VC,23152(b) VC,,F,White,26,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
07/19/2015,2015-July,71 PC,417(A)(1) PC,148(a)(1) PC,M,White,21,Interfere/Obstruct/Threat Officer,Penal Code,18-25,White
07/21/2015,2015-July,11364.1(a) HS,488 PC,,M,Hispanic,22,Drug paraphernalia,Health & Safety,18-25,Hispanic
07/23/2015,2015-July,11550(A) HS,,,M,White,36,Under the Influence - Narcotics,Health & Safety,36-45,White
07/23/2015,2015-July,11377(A) HS,11364.1(a) HS,14601.1(A) VC,M,White,50,Possession - controlled subst,Health & Safety,46-55,White
07/24/2015,2015-July,11377(A) HS,11364(a) HS,,M,White,44,Possession - controlled subst,Health & Safety,36-45,White
07/24/2015,2015-July,459.5 PC,,,M,White,44,Burglary,Penal Code - Property Crimes,36-45,White
07/24/2015,2015-July,14601.1(A) VC,,,M,White,49,license violation,Vehicle Code,46-55,White
07/25/2015,2015-July,11377(A) HS,,,F,White,55,Possession - controlled subst,Health & Safety,46-55,White
07/28/2015,2015-July,273.5(A) PC,,,M,Black,37,Corporal Injury spouse/partner,Penal Code - Against person,36-45,African-Amer
07/28/2015,2015-July,21200.5 VC,,,M,White,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
07/29/2015,2015-July,459 PC,25400(a)(2) PC,466 PC,F,White,19,Burglary,Penal Code - Property Crimes,18-25,White
07/29/2015,2015-July,11350(A) HS,,,M,White,47,Possession - controlled subst,Health & Safety,46-55,White
07/30/2015,2015-July,21310 PC,,,M,Hispanic,33,Illegal possession of a dirk/dagger,Penal Code - Weapons,26-35,Hispanic
07/30/2015,2015-July,11364(a) HS,,,M,White,25,Drug paraphernalia,Health & Safety,18-25,White
07/30/2015,2015-July,242 PC,243(b) PC,69 PC,M,White,27,Battery,Penal Code - Against person,26-35,White
07/31/2015,2015-July,242 PC,,,M,Hispanic,22,Battery,Penal Code - Against person,18-25,Hispanic
07/31/2015,2015-July,182(A)(1) PC,496(A) PC,466 PC,M,Hispanic,33,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,Hispanic
07/31/2015,2015-July,11364.1(a) HS,11377(A) HS,,F,White,31,Drug paraphernalia,Health & Safety,26-35,White
07/31/2015,2015-July,243(e)(1) PC,,,F,White,32,Battery on a spouse/partner,Penal Code - Against person,26-35,White
07/31/2015,2015-July,273.5(A) PC,273.6(B) PC,,F,White,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,White
07/31/2015,2015-July,182(A)(1) PC,11364.1(a) HS,466 PC,F,White,35,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,White
07/31/2015,2015-July,182(A)(1) PC,466 PC,496(A) PC,M,White,36,Conspiracy to commit a crime,Penal Code - Public Justice,36-45,White
07/31/2015,2015-July,487(A) PC,148.9(A) PC,,M,White,36,Grand Theft,Penal Code - Larceny,36-45,White
08/01/2015,2015-August,25400(c)(2) PC,148.9(A) PC,25850(c)(2) PC,M,Black,18,Concealed firearm,Penal Code,18-25,African-Amer
08/01/2015,2015-August,647(f) PC,,,M,Hispanic,35,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
08/01/2015,2015-August,415(1) PC,647(f) PC,242 PC,M,White,23,Fighting,Penal Code - Disturbing the Peace,18-25,White
08/01/2015,2015-August,647(f) PC,594(b)(2)(A) PC,,M,White,25,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
08/01/2015,2015-August,148(a)(1) PC,148.9(A) PC,26.01.045 (a) CC,M,White,28,Resist Arrest,Penal Code - Public Justice,26-35,White
08/02/2015,2015-August,496(A) PC,,,F,White,26,Receives Stolen Property,Penal Code - Larceny,26-35,White
08/05/2015,2015-August,11377(A) HS,,,M,White,44,Possession - controlled subst,Health & Safety,36-45,White
08/06/2015,2015-August,476 PC,,,M,Hispanic,22,Forgery/Counterfeiting,Penal Code - Property Crimes,18-25,Hispanic
08/06/2015,2015-August,21200.5 VC,647(f) PC,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
08/06/2015,2015-August,647(f) PC,,,F,White,48,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
08/07/2015,2015-August,148(a)(1) PC,243(b) PC,647(f) PC,M,Hispanic,21,Resist Arrest,Penal Code - Public Justice,18-25,Hispanic
08/07/2015,2015-August,415(1) PC,,,M,Hispanic,22,Fighting,Penal Code - Disturbing the Peace,18-25,Hispanic
08/07/2015,2015-August,647(f) PC,,,M,Hispanic,25,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Hispanic
08/07/2015,2015-August,459 PC,182(A)(1) PC,11377(A) HS,M,White,24,Burglary,Penal Code - Property Crimes,18-25,White
08/07/2015,2015-August,459 PC,11378 HS,182(A)(1) PC,M,White,29,Burglary,Penal Code - Property Crimes,26-35,White
08/07/2015,2015-August,459 PC,11364,,M,White,36,Burglary,Penal Code - Property Crimes,36-45,White
08/08/2015,2015-August,23152(a) VC,23152(b) VC,,M,Hispanic,28,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
08/08/2015,2015-August,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
08/09/2015,2015-August,242 PC,,,M,White,24,Battery,Penal Code - Against person,18-25,White
08/12/2015,2015-August,245(A)(1) PC,273.5(A) PC,,M,Other Asian,51,Assault with a deadly weapon,Penal Code - Against person,46-55,Asian
08/12/2015,2015-August,23152(a) VC,23152(b) VC,,M,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
08/12/2015,2015-August,11357(B) HS,,,M,Hispanic,51,Possession - Cannabis,Health & Safety,46-55,Hispanic
08/12/2015,2015-August,11357(A) HS,11357(B) HS,,F,White,34,Possession - Cannabis,Health & Safety,26-35,White
08/13/2015,2015-August,647(f) PC,,,F,White,53,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
08/14/2015,2015-August,537E(A)(1) PC,11357(B) HS,,M,Black,32,Stolen Property,Penal Code - Property Crimes,26-35,African-Amer
08/14/2015,2015-August,23152(a) VC,23152(b) VC,,F,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
08/14/2015,2015-August,496(A) PC,,,F,White,26,Receives Stolen Property,Penal Code - Larceny,26-35,White
08/15/2015,2015-August,273.5(A) PC,,,M,Hispanic,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Hispanic
08/15/2015,2015-August,273.5(A) PC,,,M,White,38,Corporal Injury spouse/partner,Penal Code - Against person,36-45,White
08/16/2015,2015-August,273.5(A) PC,236 PC,422 PC,M,Black,24,Corporal Injury spouse/partner,Penal Code - Against person,18-25,African-Amer
08/16/2015,2015-August,11550(A) HS,,,M,Hispanic,29,Under the Influence - Narcotics,Health & Safety,26-35,Hispanic
08/18/2015,2015-August,242 PC,,,M,White,38,Battery,Penal Code - Against person,36-45,White
08/19/2015,2015-August,11364(a) HS,11377(A) HS,,M,Hispanic,28,Drug paraphernalia,Health & Safety,26-35,Hispanic
08/21/2015,2015-August,11378 HS,11379(A) HS,11350(A) HS,M,White,28,Possession for sale - contr subst,Health & Safety,26-35,White
08/22/2015,2015-August,203 PC,148(a)(1) PC,245(A)(1) PC,M,Hispanic,24,Mayhem,Penal Code - Against person,18-25,Hispanic
08/22/2015,2015-August,23152(a) VC,23154(a) VC,14601.2(A) VC,M,White,28,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
08/22/2015,2015-August,11377(A) HS,,,F,White,46,Possession - controlled subst,Health & Safety,46-55,White
08/27/2015,2015-August,273.5(A) PC,236 PC,,M,Hispanic,24,Corporal Injury spouse/partner,Penal Code - Against person,18-25,Hispanic
08/27/2015,2015-August,20002(A)(1) VC,,,M,Other,24,Hit and Run,Vehicle Code,18-25,Other
08/28/2015,2015-August,11364(a) HS,,,M,Black,43,Drug paraphernalia,Health & Safety,36-45,African-Amer
08/28/2015,2015-August,647(f) PC,,,M,White,21,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
08/28/2015,2015-August,487(A) PC,,,M,White,27,Grand Theft,Penal Code - Larceny,26-35,White
08/28/2015,2015-August,369I(A) PC,,,M,White,44,Railroad Trespass,Penal Code - Miscellaneous,36-45,White
08/31/2015,2015-August,459 PC,484G(B) PC,487(A) PC,F,Black,23,Burglary,Penal Code - Property Crimes,18-25,African-Amer
08/31/2015,2015-August,11351 HS,182(A)(1) PC,459 PC,M,Black,25,Possession for sale - contr subst,Health & Safety,18-25,African-Amer
08/31/2015,2015-August,11351 HS,182(A)(1) PC,459 PC,M,Black,36,Possession for sale - contr subst,Health & Safety,36-45,African-Amer
08/31/2015,2015-August,11377(A) HS,,,M,Hispanic,28,Possession - controlled subst,Health & Safety,26-35,Hispanic
09/01/2015,2015-September,20001(A) VC,23153(a) VC,23153(b) VC,M,White,58,Hit and Run,Vehicle Code,56-65,White
09/03/2015,2015-September,11350(A) HS,,,M,Black,23,Possession - controlled subst,Health & Safety,18-25,African-Amer
09/03/2015,2015-September,11550(A) HS,,,F,Hispanic,53,Under the Influence - Narcotics,Health & Safety,46-55,Hispanic
09/03/2015,2015-September,11364.1(a) HS,11377(A) HS,11379.6(A) HS,M,Other,30,Drug paraphernalia,Health & Safety,26-35,Other
09/03/2015,2015-September,11364.1(a) HS,182(A)(1) PC,466 PC,F,White,20,Drug paraphernalia,Health & Safety,18-25,White
09/03/2015,2015-September,11350(A) HS,11364.1(a) HS,182(A)(1) PC,M,White,21,Possession - controlled subst,Health & Safety,18-25,White
09/03/2015,2015-September,11364.1(a) HS,182(A)(1) PC,466 PC,F,White,43,Drug paraphernalia,Health & Safety,36-45,White
09/04/2015,2015-September,11550(A) HS,,,M,White,36,Under the Influence - Narcotics,Health & Safety,36-45,White
09/04/2015,2015-September,23152(a) VC,23152(b) VC,23152(f) VC,F,White,58,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
09/05/2015,2015-September,11378 HS,11379(A) HS,,M,Hispanic,54,Possession for sale - contr subst,Health & Safety,46-55,Hispanic
09/05/2015,2015-September,23152(a) VC,23152(b) VC,,M,Other,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
09/05/2015,2015-September,647(f) PC,,,M,White,58,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,White
09/06/2015,2015-September,14601.1(A) VC,,,M,Black,27,license violation,Vehicle Code,26-35,African-Amer
09/06/2015,2015-September,23152(a) VC,23152(b) VC,,M,Hispanic,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
09/06/2015,2015-September,23152(a) VC,23152(b) VC,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
09/07/2015,2015-September,273.5(A) PC,,,M,Hispanic,35,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Hispanic
09/09/2015,2015-September,487(A) PC,,,M,White,30,Grand Theft,Penal Code - Larceny,26-35,White
09/10/2015,2015-September,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
09/10/2015,2015-September,11359 HS,11360(A) HS,,M,White,59,Possession for sale - Cannabis,Health & Safety,56-65,White
09/11/2015,2015-September,647(f) PC,,,M,Hispanic,22,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Hispanic
09/11/2015,2015-September,23152(a) VC,23152(b) VC,,M,Hispanic,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
09/11/2015,2015-September,11364.1(a) HS,,,M,Hispanic,28,Drug paraphernalia,Health & Safety,26-35,Hispanic
09/12/2015,2015-September,288(A) PC,,,M,Hispanic,22,Child sex,Penal Code - Against person,18-25,Hispanic
09/12/2015,2015-September,23152(e) VC,,,M,Other,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
09/12/2015,2015-September,29800(a)(1) PC,29815(a) PC,30305(a)(1) PC,M,White,31,Poss Firearm Felon,Penal Code - Weapons,26-35,White
09/13/2015,2015-September,23152(a) VC,23152(b) VC,,M,White,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
09/15/2015,2015-September,487(A) PC,484(a) PC,,M,Hispanic,22,Grand Theft,Penal Code - Larceny,18-25,Hispanic
09/15/2015,2015-September,496(A) PC,476 PC,,M,Hispanic,22,Receives Stolen Property,Penal Code - Larceny,18-25,Hispanic
09/17/2015,2015-September,11364(a) HS,11377(A) HS,O/W MISD,M,White,32,Drug paraphernalia,Health & Safety,26-35,White
09/18/2015,2015-September,415(1) PC,647(f) PC,,M,Hispanic,22,Fighting,Penal Code - Disturbing the Peace,18-25,Hispanic
09/18/2015,2015-September,11370.1(A) HS,25400(c)(6) PC,25850(c)(6) PC,M,Other,29,Possession of drugs with firearm,Health & Safety,26-35,Other
09/19/2015,2015-September,187(A) PC,,,M,Hispanic,25,Murder,Penal Code - Against person,18-25,Hispanic
09/19/2015,2015-September,23152(a) VC,23152(b) VC,,M,White,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
09/20/2015,2015-September,243(e)(1) PC,591.5 PC,,M,Filipino,25,Battery on a spouse/partner,Penal Code - Against person,18-25,Asian
09/21/2015,2015-September,187(A) PC,,,M,White,21,Murder,Penal Code - Against person,18-25,White
09/22/2015,2015-September,20002(A)(1) VC,Accident Non,,M,Hispanic,20,Hit and Run,Vehicle Code,18-25,Hispanic
09/22/2015,2015-September,23152(a) VC,,,M,Hispanic,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
09/23/2015,2015-September,11364.1(a) HS,,,M,Black,41,Drug paraphernalia,Health & Safety,36-45,African-Amer
09/23/2015,2015-September,243(e)(1) PC,,,M,Hispanic,20,Battery on a spouse/partner,Penal Code - Against person,18-25,Hispanic
09/24/2015,2015-September,23152(a) VC,23152(b) VC,,M,Hispanic,56,Drug or EtOH vehicle violtion,Vehicle Code,56-65,Hispanic
09/25/2015,2015-September,273.5(A) PC,236 PC,,M,Hispanic,20,Corporal Injury spouse/partner,Penal Code - Against person,18-25,Hispanic
09/25/2015,2015-September,187(A) PC,,,M,Hispanic,22,Murder,Penal Code - Against person,18-25,Hispanic
